city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Alwar,Rajasthan,27.553,76.6346,2025-11-23T14:00,82.9,87.8,2.9,182.0,25.2,443.0,Moderate
Bardhaman,West Bengal,23.2324,87.8615,2025-11-23T14:00,78.9,83.6,3.5,201.0,24.9,395.0,Moderate
Kulti,West Bengal,23.7333,86.85,2025-11-23T14:00,93.6,100.6,15.6,172.0,51.1,407.0,Poor
Kakinada,Andhra Pradesh,16.9891,82.2475,2025-11-23T14:00,22.0,26.1,1.9,145.0,3.9,294.0,Good
Nizamabad,Telangana,18.6725,78.0941,2025-11-23T14:00,23.1,23.8,1.0,129.0,7.0,288.0,Good
Parbhani,Maharashtra,19.2704,76.7767,2025-11-23T14:00,20.8,21.5,1.5,150.0,7.3,319.0,Good
Tumkur,Karnataka,13.3392,77.1017,2025-11-23T14:00,4.4,5.2,1.7,87.0,2.7,196.0,Good
Khammam,Telangana,17.2473,80.1514,2025-11-23T14:00,22.7,24.2,2.8,134.0,14.9,248.0,Good
Ozhukarai,Puducherry,11.9544,79.7726,2025-11-23T14:00,5.6,6.5,2.2,86.0,2.1,200.0,Good
Bihar Sharif,Bihar,25.1995,85.5174,2025-11-23T14:00,91.5,98.5,2.5,168.0,20.7,447.0,Poor
Panipat,Haryana,29.3909,76.9635,2025-11-23T14:00,93.1,95.7,7.3,188.0,40.6,631.0,Poor
Darbhanga,Bihar,26.1542,85.8918,2025-11-23T14:00,80.1,86.6,3.0,169.0,19.1,479.0,Moderate
Bally,West Bengal,22.6532,88.3468,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,444.0,Moderate
Aizawl,Mizoram,23.7271,92.7176,2025-11-23T14:00,18.1,20.0,0.9,121.0,3.0,237.0,Good
Dewas,Madhya Pradesh,22.9676,76.0534,2025-11-23T14:00,66.8,70.5,2.0,159.0,15.5,340.0,Moderate
Ichalkaranji,Maharashtra,16.6956,74.4593,2025-11-23T14:00,17.8,19.2,2.0,139.0,3.7,218.0,Good
Karnal,Haryana,29.6857,76.9905,2025-11-23T14:00,87.3,90.6,4.9,187.0,31.6,590.0,Moderate
Bathinda,Punjab,30.211,74.9455,2025-11-23T14:00,82.2,86.1,8.2,206.0,49.3,588.0,Moderate
Jalna,Maharashtra,19.8347,75.8816,2025-11-23T14:00,20.6,21.2,1.2,132.0,7.6,293.0,Good
Eluru,Andhra Pradesh,16.7107,81.0952,2025-11-23T14:00,19.7,21.0,1.7,131.0,7.7,248.0,Good
